,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age_in_years,Dt_Customer_Day,Dt_Customer_Month,Dt_Customer_Year,TotalMntSpent,Total_Number_Purchases,Age Segmentation
14,Graduation,Married,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,Spain,53,5,10,2013,359,25,Between 45 and 54
15,Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,Spain,45,11,9,2013,174,12,Between 45 and 54
16,Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,Spain,45,11,9,2013,174,12,Between 45 and 54
17,PhD,Divorced,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,Spain,64,1,8,2013,22,5,Between 55 and 64
18,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Central America,62,23,7,2013,72,7,Between 55 and 64
19,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,Central America,64,1,7,2013,13,4,Between 55 and 64
20,Master,Together,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,South America,68,28,5,2013,335,15,Above 65 years
21,Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,India,56,26,3,2013,393,17,Between 55 and 64
22,Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,Germany,43,15,3,2013,92,8,Between 35 and 44
23,PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,Spain,46,12,2,2013,404,16,Between 45 and 54
24,Graduation,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,India,53,23,11,2012,704,26,Between 45 and 54
25,Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,Spain,57,13,10,2012,122,10,Between 55 and 64
26,Graduation,Together,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain,66,14,9,2012,684,31,Above 65 years
27,PhD,Widow,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,Spain,66,29,6,2014,45,7,Above 65 years
28,Graduation,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,Central America,47,31,5,2014,726,16,Between 45 and 54
29,PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,Spain,51,30,5,2014,272,14,Between 45 and 54
30,Graduation,Married,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,Central America,36,27,4,2014,1638,22,Between 35 and 44
31,PhD,Together,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,Australia,50,11,4,2014,8,4,Between 45 and 54
32,PhD,Married,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,India,48,17,3,2014,446,18,Between 45 and 54
33,Graduation,Married,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,Spain,32,29,10,2013,43,6,Between 25 and 34
34,PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain,35,9,10,2013,1901,12,Between 35 and 44
35,2n Cycle,Married,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,Spain,38,1,8,2013,461,19,Between 35 and 44
36,Master,Divorced,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,South America,62,10,5,2013,20,4,Between 55 and 64
37,PhD,Single,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain,61,9,5,2013,1688,16,Between 55 and 64
38,Graduation,Married,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,Spain,54,25,4,2013,1008,24,Between 45 and 54
39,Graduation,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,Central America,50,20,4,2013,48,7,Between 45 and 54
40,PhD,Married,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,Spain,67,30,3,2013,1485,35,Above 65 years
41,2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,Spain,39,1,3,2013,1104,16,Between 35 and 44
42,Graduation,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,Spain,36,14,2,2013,165,11,Between 35 and 44
43,2n Cycle,Divorced,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,Spain,52,14,2,2013,56,7,Between 45 and 54
44,Graduation,Together,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,Spain,61,11,1,2013,1574,14,Between 55 and 64
45,Graduation,Married,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,Spain,49,3,1,2013,39,5,Between 45 and 54
46,Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Australia,57,19,12,2012,965,16,Between 55 and 64
47,Graduation,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,Germany,52,15,12,2012,497,19,Between 45 and 54
48,Graduation,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,United States of America,62,2,12,2012,371,17,Between 55 and 64
49,2n Cycle,Married,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,Germany,38,17,9,2012,51,6,Between 35 and 44
50,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Germany,68,11,9,2012,1253,21,Above 65 years
51,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,South America,44,12,5,2014,17,4,Between 35 and 44
52,Graduation,Married,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain,66,28,4,2014,1588,17,Above 65 years
53,Basic,Married,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,Spain,48,29,3,2014,50,8,Between 45 and 54
54,Graduation,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,Spain,70,6,3,2014,83,7,Above 65 years
55,Master,Married,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,India,49,4,3,2014,41,5,Between 45 and 54
56,PhD,Together,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,South America,47,4,2,2014,231,12,Between 45 and 54
57,Graduation,Married,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,South America,60,3,2,2014,926,24,Between 55 and 64
58,Graduation,Married,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,Spain,58,1,1,2014,893,16,Between 55 and 64
59,Master,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,Spain,40,12,12,2013,373,2,Between 35 and 44
60,Master,Together,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,Spain,61,15,11,2013,32,5,Between 55 and 64
61,PhD,Single,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,Spain,54,20,9,2013,88,11,Between 45 and 54
62,Master,Married,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,Spain,45,5,9,2013,24,5,Between 45 and 54
63,Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,Australia,48,31,8,2013,400,21,Between 45 and 54
64,Graduation,Together,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,Spain,36,30,7,2013,36,5,Between 35 and 44
65,Master,Married,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,Australia,66,30,7,2013,789,23,Above 65 years
66,2n Cycle,Married,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,India,62,27,7,2013,1066,17,Between 55 and 64
67,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,Spain,50,22,6,2013,73,9,Between 45 and 54
68,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,Spain,50,22,6,2013,73,9,Between 45 and 54
69,PhD,Married,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,Central America,47,11,1,2013,2043,19,Between 45 and 54
70,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,South America,60,5,1,2013,1588,14,Between 55 and 64
71,Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,Spain,45,21,11,2012,441,16,Between 45 and 54
72,Graduation,Single,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,India,52,11,11,2012,106,7,Between 45 and 54
73,Graduation,Married,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,South America,51,28,9,2012,1410,21,Between 45 and 54
74,Graduation,Together,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,Spain,57,27,9,2012,1040,23,Between 55 and 64
75,Graduation,Widow,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,South America,59,7,9,2012,117,9,Between 55 and 64
76,PhD,Together,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,Spain,46,13,8,2012,2092,23,Between 45 and 54
77,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Australia,58,11,8,2012,1693,29,Between 55 and 64
78,Graduation,Married,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,Central America,75,2,8,2012,17,4,Above 65 years
79,Graduation,Together,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Spain,53,25,6,2014,1091,16,Between 45 and 54
80,Graduation,Together,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Central America,53,25,6,2014,1091,16,Between 45 and 54
81,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,Germany,65,28,5,2014,372,17,Between 55 and 64
82,PhD,Together,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,South America,52,14,4,2014,714,22,Between 45 and 54
83,Graduation,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain,60,10,3,2014,16,4,Between 55 and 64
84,2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,Spain,42,27,2,2014,48,5,Between 35 and 44
85,2n Cycle,Single,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,Spain,35,7,2,2014,43,5,Between 35 and 44
86,Graduation,Married,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,Australia,49,28,1,2014,44,9,Between 45 and 54
87,PhD,Together,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,Spain,77,17,11,2013,1196,17,Above 65 years
88,Graduation,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,Spain,38,7,11,2013,37,5,Between 35 and 44
89,Graduation,Together,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Central America,45,17,10,2013,162,9,Between 45 and 54
90,PhD,Married,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,Spain,62,13,10,2013,1123,27,Between 55 and 64
91,Graduation,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,Spain,52,12,10,2013,17,6,Between 45 and 54
92,PhD,Together,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,United States of America,53,30,9,2013,1044,15,Between 45 and 54
93,Graduation,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,Germany,43,3,7,2013,758,21,Between 35 and 44
94,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Spain,60,10,6,2013,140,8,Between 55 and 64
95,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Germany,60,10,6,2013,140,8,Between 55 and 64
96,Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,United States of America,73,29,5,2013,121,9,Above 65 years
97,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Australia,42,29,4,2013,1395,21,Between 35 and 44
98,PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,Spain,66,10,3,2013,455,20,Above 65 years
99,PhD,Single,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,Spain,74,2,1,2013,685,25,Above 65 years
100,Graduation,Married,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,Spain,40,2,11,2012,1173,20,Between 35 and 44
101,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,South America,49,18,10,2012,424,19,Between 45 and 54
102,PhD,YOLO,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,Central America,49,18,10,2012,424,19,Between 45 and 54
103,PhD,YOLO,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,India,49,18,10,2012,424,19,Between 45 and 54
104,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,Spain,73,1,10,2012,1178,28,Above 65 years
105,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,Spain,73,1,10,2012,1178,28,Above 65 years
106,PhD,Together,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,Germany,57,3,9,2012,1282,23,Between 55 and 64
107,PhD,Married,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,Spain,32,26,8,2012,1711,16,Between 25 and 34
108,2n Cycle,Married,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,Spain,42,23,5,2014,809,21,Between 35 and 44
109,Graduation,Together,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,Spain,67,17,5,2014,473,18,Above 65 years
110,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,India,52,21,4,2014,148,8,Between 45 and 54
111,Graduation,Married,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,Australia,69,21,4,2014,188,10,Above 65 years
112,Graduation,Together,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,South America,40,23,3,2014,147,8,Between 35 and 44
113,Master,Married,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,Spain,47,16,12,2013,30,4,Between 45 and 54
114,Graduation,Married,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,United States of America,67,26,11,2013,868,23,Above 65 years
115,Master,Together,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,Central America,46,14,11,2013,1053,17,Between 45 and 54
116,Master,Together,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,Spain,46,14,11,2013,1053,17,Between 45 and 54
117,Master,Married,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,Spain,73,6,11,2013,1008,25,Above 65 years
118,Graduation,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,Spain,54,6,10,2013,757,22,Between 45 and 54
119,Graduation,Together,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Germany,64,27,9,2013,653,18,Between 55 and 64
120,Graduation,Married,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,Spain,60,18,9,2013,1400,21,Between 55 and 64
121,Graduation,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Spain,44,9,9,2013,78,7,Between 35 and 44
122,Graduation,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Central America,44,9,9,2013,78,7,Between 35 and 44
123,Graduation,Together,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,Spain,64,18,7,2013,467,14,Between 55 and 64
124,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,Central America,64,8,7,2013,306,15,Between 55 and 64
125,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,United States of America,46,27,5,2013,257,14,Between 45 and 54
126,Master,Married,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,Spain,51,5,3,2013,751,29,Between 45 and 54
127,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Australia,76,20,2,2013,1196,18,Above 65 years
128,Graduation,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Spain,68,14,2,2013,1338,20,Above 65 years
129,Graduation,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Central America,68,14,2,2013,1338,20,Above 65 years
130,Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,India,55,12,1,2013,1128,28,Between 55 and 64
131,Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Australia,65,24,12,2012,22,4,Between 55 and 64
132,Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Spain,65,24,12,2012,22,4,Between 55 and 64
133,PhD,Married,51411.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Germany,65,19,11,2012,603,29,Between 55 and 64
134,Graduation,Married,69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,Central America,50,17,9,2012,1782,16,Between 45 and 54
135,Graduation,Together,31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,India,33,28,3,2014,72,9,Between 25 and 34
136,PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,India,35,24,2,2014,1658,15,Between 35 and 44
137,2n Cycle,Married,30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,India,35,2,9,2013,80,6,Between 35 and 44
138,Graduation,Married,21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,United States of America,37,20,8,2013,68,7,Between 35 and 44
139,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Germany,53,23,6,2013,16,4,Between 45 and 54
140,2n Cycle,Married,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,India,33,5,5,2013,1062,26,Between 25 and 34
141,Graduation,Divorced,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,South America,48,5,4,2013,1112,29,Between 45 and 54
142,Graduation,Single,58350.0,0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,Spain,51,4,1,2013,1001,27,Between 45 and 54
143,Graduation,Single,7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,Spain,44,27,12,2012,57,10,Between 35 and 44
144,Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,South America,38,10,11,2012,35,4,Between 35 and 44
145,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Central America,36,29,10,2012,57,7,Between 35 and 44
146,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Germany,36,29,10,2012,57,7,Between 35 and 44
147,PhD,Divorced,41437.0,1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,Spain,65,22,9,2012,32,5,Between 55 and 64
148,Master,Together,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Mexico,73,7,9,2012,874,26,Above 65 years
149,Master,Together,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Australia,73,7,9,2012,874,26,Above 65 years
150,Graduation,Married,79823.0,0,1,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,Australia,63,31,3,2014,1518,23,Between 55 and 64
151,Graduation,Divorced,85683.0,0,0,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,Spain,68,21,3,2014,1789,17,Above 65 years
152,PhD,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain,57,9,2,2014,20,4,Between 55 and 64
153,PhD,Married,68397.0,0,1,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,South America,46,17,11,2013,1416,21,Between 45 and 54
154,PhD,Married,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,Spain,38,23,9,2013,153,11,Between 35 and 44
155,Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,Spain,50,18,9,2013,92,9,Between 45 and 54
156,Master,Together,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,South America,46,27,6,2013,31,5,Between 45 and 54
157,Master,Together,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,Central America,46,27,6,2013,31,5,Between 45 and 54
158,Graduation,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,Spain,43,28,3,2013,943,23,Between 35 and 44
159,Graduation,Together,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,South America,57,12,3,2013,25,4,Between 55 and 64
160,Graduation,Together,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,Spain,57,12,3,2013,25,4,Between 55 and 64
161,Graduation,Together,70321.0,0,0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,Spain,75,16,1,2013,1376,25,Above 65 years
162,Graduation,Married,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,Spain,60,8,1,2013,393,14,Between 55 and 64
